Birke@Birke MINGW64 /d/Repos/multiUAV-simulation/results (master)
for f in *.out ; do echo "$f"; tail -4 $f | grep --color=auto "at t="; done
 
Szenario_Hotel_Gabelbach-replM=2,biWeight=0.35,replSearchM=1,numUAVs=


###############################################################################
The following data was recorded with a 336 hours cutoff simulation time

numUAVs simRun duration
55 0 19730.454951961332
55 1 125780.256641793666
55 10 16175.15311631211
55 11 14689.527549561394
55 12 297005.578312765382
55 13 117647.573994620745
55 14 551421.164899142481
55 15 14694.589987237309
55 16 132613.252492708795
55 17 43265.976210397325
55 18 113262.236548570913
55 19 112563.467617132723
55 2 27213.129439727314
55 20 103933.732803648465
55 21 20808.595081149542
55 22 19171.002639192661
55 23 16868.981130428109
55 24 256984.531523318226
55 25 19205.653139292256
55 26 151416.251724504775
55 27 27227.681158182029
55 28 11961.962732207112
55 29 34343.903392569555
55 3 13932.987959550739
55 30 20104.457314195511
55 31 13360.944535933922
55 32 105333.163702140126
55 33 110451.107051844901
55 34 66958.337910239038
55 35 15155.252899139218
55 36 91503.194194374649
55 37 14900.735876990608
55 38 20609.99070654717
55 39 165647.732444441912
55 4 72880.315625093948
55 40 605911.06865890456
55 41 17158.860311602858
55 42 287809.093326070863
55 43 293923.146623653628
55 44 74490.441186072163
55 45 13923.356306644081
55 46 14601.496922525546
55 47 15413.460792629799
55 5 13690.586931179329
55 6 11483.581349291625
55 7 18676.813609118913
55 8 490816.680093581083
55 9 33543.917212916884
56 0 1209600
56 1 1209600
56 10 1209600
56 11 1209600
56 12 1209600
56 13 1209600
56 14 1209600
56 15 1209600
56 16 1209600
56 17 1209600
56 18 1209600
56 19 1209600
56 2 1209600
56 20 1209600
56 21 1209600
56 22 1209600
56 23 1209600
56 24 781087.662786773712
56 25 1209600
56 26 925530.008584439415
56 27 1209600
56 28 1209600
56 29 1209600
56 3 1209600
56 30 1209600
56 31 1209600
56 32 1209600
56 33 1209600
56 34 1209600
56 35 1209600
56 36 1209600
56 37 1209600
56 38 1209600
56 39 1209600
56 4 1209600
56 40 1209600
56 41 1209600
56 42 1209600
56 43 1209600
56 44 1209600
56 45 1209600
56 46 1209600
56 47 1209600
56 5 1209600
56 6 1209600
56 7 1209600
56 8 1209600
56 9 1209600
57 0 1209600
57 1 1209600
57 10 1209600
57 11 1209600
57 12 1209600
57 13 1209600
57 14 1209600
57 15 1209600
57 2 1209600
57 3 1209600
57 4 1209600
57 5 1209600
57 6 1209600
57 7 1209600
57 8 1209600
57 9 1209600

###############################################################################
The following data was recorded with a 72 hours cutoff simulation time

numUAVs simRun duration
20 0 757.196678978058
20 1 686.421261223386
20 10 767.196678978058
20 11 757.196678978058
20 2 706.421261223386
20 3 706.421261223386
20 4 706.421261223386
20 5 609.913142546607
20 6 737.196678978058
20 7 872.607969562364
20 8 820.932124754074
20 9 820.932124754074
25 0 1100.434602202604
25 1 1122.607969562364
25 10 1144.784774373238
25 11 1120.434602202604
25 2 1202.607969562364
25 3 1164.784774373238
25 4 1122.607969562364
25 5 969.914142546608
25 6 978.338035133632
25 7 1292.608969562365
25 8 1127.199678978058
25 9 978.338035133632
30 0 1764.82941927123
30 1 1722.607969562364
30 10 1782.608969562364
30 11 1762.242344284605
30 2 1764.784774373238
30 3 1780.380218923241
30 4 1427.197678978058
30 5 1180.434602202604
30 6 1679.635990036552
30 7 1604.82941927123
30 8 1712.609969562365
30 9 1532.608969562364
35 0 2168.681289567575
35 1 1897.213042672992
35 10 2010.596393664315
35 11 2003.816953854632
35 2 1894.82941927123
35 3 2176.504484756701
35 4 1902.607969562364
35 5 1897.213042672992
35 6 1994.688132597459
35 7 2000.380218923241
35 8 1822.607969562364
35 9 1897.213042672992
40 0 2854.630405827726
40 1 2537.623872801739
40 10 2206.887783436811
40 11 2803.638687939408
40 2 2437.361028975251
40 3 2864.630405827726
40 4 2818.435249924588
40 5 2522.609969562364
40 6 3062.252486104411
40 7 3049.1343002674
40 8 2922.806926256284
40 9 2537.668517699731
45 0 3372.714469629248
45 1 3312.510412613987
45 10 3352.611969562366
45 11 3920.599393664315
45 2 3305.449067990865
45 3 3175.141579266385
45 4 3629.1353002674
45 5 2976.262929965246
45 6 3747.216042672992
45 7 3569.1353002674
45 8 3303.259052152064
45 9 3537.714529797965
50 0 4653.667848351715
50 1 4980.43498249509
50 10 5204.860201189732
50 11 5123.395130249635
50 2 5586.089035859303
50 3 4537.214587945227
50 4 5644.323767838843
50 5 5062.431479770736
50 6 5326.385547298286
50 7 5351.52813714817
50 8 5201.850225454451
50 9 5167.366028975251
53 0 8578.334553098028
53 1 8514.07773601046
53 10 7474.694952871611
53 11 7910.428413545729
53 2 9103.696758117189
53 3 8608.447637744597
53 4 7818.900458916851
53 5 7852.446115934147
53 6 9471.385691396369
53 7 8623.267306213089
53 8 8510.975530879134
53 9 10096.386755213517
55 0 259200
55 1 12214.761112164032
55 10 14961.996276695687
55 11 16947.089895691704
55 2 11968.102906864894
55 3 135976.456809268316
55 4 23955.077221052637
55 5 259200
55 6 259200
55 7 23618.338515012631
55 8 106044.403908291859
55 9 23727.97068337664
58 0 259200
58 1 259200
58 10 259200
58 11 259200
58 2 259200
58 3 259200
58 5 259200
58 6 259200
58 7 259200
58 8 259200
58 9 259200
60 0 259200
60 1 259200
60 10 259200
60 11 259200
60 2 259200
60 3 259200
60 4 259200
60 5 259200
60 6 259200
60 7 259200
60 8 259200
60 9 259200
65 0 259200
65 1 259200
65 10 259200
65 11 259200
65 2 259200
65 4 259200
65 5 259200
65 6 259200
65 7 259200
65 8 259200
65 9 259200
70 0 259200
70 1 259200
70 10 259200
70 11 259200
70 2 259200
70 3 259200
70 4 259200
70 5 259200
70 6 259200
70 7 259200
70 8 259200
70 9 259200
75 0 259200
75 1 259200
75 10 259200
75 11 259200
75 2 259200
75 3 259200
75 4 259200
75 6 259200
75 7 259200
75 8 259200
75 9 259200
80 0 259200
80 1 259200
80 10 259200
80 11 259200
80 2 259200
80 3 259200
80 4 259200
80 5 259200
80 6 259200
80 7 259200
80 8 259200
80 9 259200
85 0 259200
85 1 259200
85 10 259200
85 11 259200
85 2 259200
85 3 259200
85 4 259200
85 5 259200
85 6 259200
85 7 259200
85 8 259200
85 9 259200
90 0 259200
90 1 259200
90 10 259200
90 11 259200
90 2 259200
90 3 259200
90 4 259200
90 5 259200
90 6 259200
90 7 259200
90 8 259200
90 9 259200
95 0 259200
95 1 259200
95 10 259200
95 2 259200
95 3 259200
95 4 259200
95 5 259200
95 6 259200
95 7 259200
95 8 259200
95 9 259200
100 0 259200
100 1 259200
100 10 259200
100 11 259200
100 2 259200
100 3 259200
100 4 259200
100 5 259200
100 6 259200
100 7 259200
100 8 259200
100 9 259200
150 0 259200 
150 1 259200 
150 10 259200 
150 11 259200 
150 12 259200 
150 13 259200 
150 14 259200 
150 15 259200 
150 16 259200 
150 17 259200 
150 18 259200 
150 19 259200 
150 2 259200 
150 20 259200 
150 21 259200 
150 22 259200 
150 23 259200 
150 3 259200 
150 4 259200 
150 5 259200 
150 6 259200 
150 8 259200 
150 9 259200 
200 0 259200 
200 1 259200 
200 10 259200 
200 11 259200 
200 12 259200 
200 13 259200
200 15 259200 
200 16 259200 
200 17 259200 
200 18 259200 
200 19 259200 
200 2 259200 
200 20 259200 
200 21 259200 
200 22 259200 
200 23 259200 
200 3 259200 
200 4 259200 
200 5 259200 
200 6 259200 
200 7 259200 
200 8 259200 
200 9 259200 
250 0 259200 
250 1 259200 
250 10 259200 
250 11 259200 
250 12 259200 
250 13 259200 
250 14 259200 
250 15 259200 
250 16 259200 
250 17 259200 
250 18 259200 
250 19 259200 
250 2 259200 
250 20 259200 
250 21 259200 
250 22 259200 
250 23 259200 
250 3 259200 
250 4 259200 
250 5 259200 
250 6 259200 
250 7 259200 
250 8 259200
300 0 259200 
300 1 259200 
300 10 259200 
300 11 259200 
300 12 259200 
300 13 259200 
300 14 259200 
300 15 259200 
300 16 259200 
300 17 259200 
300 18 259200 
300 19 259200 
300 2 259200 
300 20 259200 
300 21 259200 
300 22 259200 
300 23 259200 
300 3 259200 
300 4 259200 
300 5 259200 
300 6 259200 
300 7 259200 
300 8 259200 
300 9 259200 
350 0 259200 
350 1 259200 
350 10 259200 
350 11 259200 
350 12 259200 
350 13 259200 
350 14 259200 
350 15 259200 
350 16 259200 
350 17 259200 
350 18 259200 
350 19 259200 
350 2 259200 
350 20 259200 
350 21 259200 
350 22 259200 
350 23 259200 
350 3 259200 
350 4 259200 
350 5 259200 
350 6 259200 
350 7 259200 
350 8 259200 
350 9 259200 
400 0 259200 
400 1 259200 
400 10 259200 
400 11 259200 
400 12 259200 
400 13 259200 
400 14 259200 
400 15 259200 
400 16 259200 
400 17 259200 
400 18 259200 
400 19 259200 
400 2 259200 
400 20 259200 
400 21 259200 
400 22 259200 
400 23 259200 
400 3 259200 
400 4 259200 
400 5 259200 
400 6 259200 
400 7 259200 
400 8 259200 
400 9 259200 



###############################################################################
The following data was recorded with a 72 hours cutoff simulation time and 24 repetitions

numUAVs simRun duration
55 0 19730.454951961332
55 1 125780.256641793666
55 10 16175.15311631211
55 11 14689.527549561394
55 12 259200
55 13 117647.573994620745
55 14 259200
55 15 14694.589987237309
55 16 132613.252492708795
55 17 43265.976210397325
55 18 113262.236548570913
55 19 112563.467617132723
55 2 27213.129439727314
55 20 103933.732803648465
55 21 20808.595081149542
55 22 19171.002639192661
55 23 16868.981130428109
55 3 13932.987959550739
55 4 72880.315625093948
55 5 13690.586931179329
55 6 11483.581349291625
55 7 18676.813609118913
55 8 259200
55 9 33543.917212916884
56 0 259200
56 1 259200
56 10 259200
56 11 259200
56 12 259200
56 13 259200
56 14 259200
56 15 259200
56 16 259200
56 17 259200
56 18 259200
56 19 259200
56 2 259200
56 20 259200
56 21 259200
56 22 259200
56 23 259200
56 3 259200
56 4 259200
56 5 259200
56 6 259200
56 7 259200
56 8 259200
56 9 259200
57 0 259200
57 1 259200
57 10 259200
57 11 259200
57 12 259200
57 13 259200
57 14 259200
57 15 259200
57 16 259200
57 17 259200
57 18 259200
57 19 259200
57 2 259200
57 20 259200
57 21 259200
57 22 259200
57 23 259200
57 3 259200
57 4 259200
57 5 259200
57 6 259200
57 7 259200
57 8 259200
57 9 259200
58 0 259200
58 1 259200
58 10 259200
58 11 259200
58 12 259200
58 13 259200
58 14 259200
58 15 259200
58 16 259200
58 17 259200
58 18 259200
58 19 259200
58 2 259200
58 20 259200
58 21 259200
58 22 259200
58 23 259200
58 3 259200
58 4 259200
58 5 259200
58 6 259200
58 7 259200
58 8 259200
58 9 259200
59 0 259200
59 1 13246.076191569913
59 10 259200
59 11 259200
59 12 259200
59 13 259200
59 14 259200
59 15 259200
59 16 259200
59 17 259200
59 18 259200
59 19 259200
59 2 259200
59 20 259200
59 21 259200
59 22 259200
59 23 259200
59 3 259200
59 4 259200
59 5 259200
59 6 259200
59 7 259200
59 8 259200
59 9 3873.438038172661
60 0 259200
60 1 259200
60 10 259200
60 11 259200
60 12 259200
60 13 259200
60 14 259200
60 15 259200
60 16 259200
60 17 259200
60 18 259200
60 19 259200
60 2 259200
60 20 259200
60 21 259200
60 22 259200
60 23 259200
60 3 259200
60 4 259200
60 5 259200
60 6 259200
60 7 259200
60 8 259200
60 9 259200
62 0 259200
62 1 259200
62 10 259200
62 11 259200
62 12 259200
62 13 259200
62 14 259200
62 15 259200
62 16 259200
62 17 259200
62 18 259200
62 19 259200
62 2 259200
62 20 259200
62 21 259200
62 22 259200
62 23 259200
62 3 259200
62 4 259200
62 5 259200
62 6 259200
62 7 259200
62 8 259200
62 9 259200
64 0 259200
64 1 259200
64 10 259200
